Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,52.83,15.0,1,1,Energy,White,5.5,1,1,14,0,ByBirth,0,2200,1
0,25.17,2.875,1,1,Utilities,Black,0.875,1,0,0,0,ByBirth,360,0,1
1,23.08,2.5,1,1,Energy,White,1.085,1,1,11,1,ByBirth,60,2184,1
1,57.83,7.04,1,1,CommunicationServices,White,14.0,1,1,6,1,ByBirth,360,1332,1
0,20.67,1.835,1,1,Materials,White,2.085,1,1,5,0,ByBirth,220,2503,1
1,25.0,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,200,1208,1
0,52.83,15.0,1,1,Energy,White,5.5,1,1,14,0,ByBirth,0,2200,1
1,36.67,3.25,1,1,Materials,Black,9.0,1,0,0,1,ByBirth,102,639,1
0,18.08,0.375,0,1,InformationTechnology,Latino,10.0,0,0,0,1,ByOtherMeans,300,0,1
1,32.67,5.5,1,1,Materials,Black,5.5,1,1,12,1,ByBirth,408,1000,1
1,23.25,1.5,1,1,Materials,White,2.375,1,1,3,1,ByBirth,0,582,1
1,27.58,2.04,0,0,ConsumerStaples,White,2.0,1,1,3,1,ByBirth,370,560,1
0,26.08,8.665,1,1,ConsumerStaples,White,1.415,1,0,0,0,ByBirth,160,150,1
1,33.17,3.165,0,0,Utilities,White,3.165,1,1,3,1,ByBirth,380,0,1
0,22.42,11.25,0,0,Utilities,Black,0.75,1,1,4,0,ByBirth,0,321,1
1,30.17,6.5,1,1,InformationTechnology,White,3.125,1,1,8,0,ByBirth,330,1200,1
1,42.83,4.625,1,1,Materials,White,4.58,1,0,0,0,ByOtherMeans,0,0,1
0,65.17,14.0,1,1,Healthcare,Latino,0.0,1,1,11,1,ByBirth,0,1400,1
1,28.67,9.335,1,1,Materials,Black,5.665,1,1,6,0,ByBirth,381,168,1
1,23.25,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,300,0,1
1,48.33,12.0,1,1,CommunicationServices,White,16.0,1,0,0,0,ByOtherMeans,110,0,1
0,30.67,12.0,1,1,Energy,White,2.0,1,1,1,0,ByBirth,220,19,1
1,41.5,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth,216,0,1
1,35.17,4.5,1,1,Utilities,Black,5.75,0,0,0,1,ByOtherMeans,711,0,1
1,41.17,4.04,1,1,InformationTechnology,Black,7.0,1,1,8,0,ByBirth,320,0,1
0,58.42,21.0,1,1,ConsumerDiscretionary,Asian,10.0,1,1,13,0,ByBirth,0,6700,1
0,25.17,2.875,1,1,Utilities,Black,0.875,1,0,0,0,ByBirth,360,0,1
1,26.17,0.25,1,1,ConsumerDiscretionary,Asian,0.0,1,0,0,1,ByBirth,0,0,1
1,65.42,11.0,1,1,Education,Other,20.0,1,1,7,1,ByBirth,22,0,1
0,25.75,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth,491,0,1
1,34.25,3.0,1,1,InformationTechnology,Black,7.415,1,0,0,1,ByBirth,0,0,1
0,60.92,5.0,1,1,ConsumerStaples,White,4.0,1,1,4,0,ByBirth,0,99,1
0,26.08,8.665,1,1,ConsumerStaples,White,1.415,1,0,0,0,ByBirth,160,150,1
0,25.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary,0,0,1
0,21.25,2.335,1,1,ConsumerDiscretionary,Asian,0.5,1,1,4,0,ByOtherMeans,80,0,1
